feature,class,WT-W303-1bar-A,WT-W303-1bar-B,WT-W303-1bar-C,WT-W303-250bar-A,WT-W303-250bar-B,WT-W303-250bar-C
CL 60:1;0,CL,,,,,,
CL 61:1;0,CL,,,,,,
CL 62:1;0,CL,,,,,,
CL 62:2;0,CL,,,,,,
CL 64:2;0,CL,,,,,,
CL 64:3;0,CL,,,,,,
CL 66:2;0,CL,,,,,,
CL 66:3;0,CL,,,,,,
CL 68:2;0,CL,36.5177002,20.54599953,,,12.73390007,
CL 68:3;0,CL,22.3614006,,,,,
CL 68:4;0,CL,,,,,,
CL 70:3;0,CL,,,,,,
CL 70:4;0,CL,,,,,,
CL 72:4;0,CL,,,,,,
Cer 32:0;2,Cer,,0.657965004,0.350569993,,,
Cer 32:0;5,Cer,,,,,0.374365002,0.452832997
Cer 34:0;2,Cer,3.004650116,3.473170042,1.884699941,1.343340039,0.939432979,1.442000031
Cer 34:0;3,Cer,,0.729301989,,,,
Cer 34:0;4,Cer,,,,,,
Cer 36:0;2,Cer,4.523119926,3.440380096,2.165199995,1.979290009,1.455489993,2.353539944
Cer 36:0;3,Cer,0.847893,0.784255981,,,,
Cer 38:0;2,Cer,2.466429949,1.209869981,0.917553008,1.154440045,0.658052027,1.338539958
Cer 38:0;3,Cer,,,,,,
Cer 38:0;4,Cer,,,,,,
Cer 40:0;2,Cer,,,,,,
Cer 40:0;3,Cer,1.702450037,0.787765026,0.493728995,,,
Cer 40:0;4,Cer,,,,,,
Cer 42:0;2,Cer,,,,,,
Cer 42:0;3,Cer,3.1849401,2.044420004,1.410380006,0.582018018,0.84166503,0.874643028
Cer 42:0;4,Cer,,,,,,
Cer 44:0;2,Cer,1.334280014,1.172209978,0.618022025,,,
Cer 44:0;3,Cer,16.31419945,11.66450024,8.723609924,0.76128,0.826905012,0.837197006
Cer 44:0;4,Cer,25.47139931,17.8567009,15.12650013,9.076899529,10.37119961,10.21370029
Cer 44:0;5,Cer,1.658519983,1.032610059,0.885188997,3.383840084,4.583250046,1.120409966
Cer 46:0;2,Cer,,,,,,
Cer 46:0;3,Cer,6.24323988,4.708370209,3.300899982,,,
Cer 46:0;4,Cer,8.736980438,6.681680202,5.277080059,4.988689899,6.940360069,5.005099773
Cer 46:0;5,Cer,,,,,,
DAG 10:0;0_16:0;0,DAG,60.03570175,43.31499863,28.34959984,9.123140335,9.381520271,8.558369637
DAG 10:0;0_16:1;0,DAG,,,,,7.804299831,
DAG 10:0;0_18:0;0,DAG,12.70619965,9.165639877,5.822989941,2.986920118,2.718450069,2.534240007
DAG 10:0;0_18:1;0,DAG,3.661129951,1.713739991,1.387079954,1.819679976,1.668820024,1.668540001
DAG 10:0;0_20:0;0,DAG,,,0.0921565,,,
DAG 10:1;0_16:0;0,DAG,,,,,0.320217013,
DAG 10:1;0_18:0;0,DAG,0.248301998,0.114670999,0.112145998,0.080928102,,0.0617132
DAG 12:0;0_14:0;0,DAG,10.48349953,7.555789948,4.968500137,1.72992003,1.754199982,1.683650017
DAG 12:0;0_14:1;0,DAG,,,,,0.120265998,
DAG 12:0;0_16:0;0,DAG,64.83599854,42.95209885,28.73480034,13.89420033,13.65849972,12.66539955
DAG 12:0;0_16:1;0,DAG,13.09560013,5.270669937,4.590330124,10.72319984,9.892959595,10.31410027
DAG 12:0;0_18:0;0,DAG,13.46389961,9.100629807,6.068190098,,3.408349991,
DAG 12:0;0_18:1;0,DAG,7.134250164,3.17227006,2.594480038,3.054209948,3.022550106,2.648849964
DAG 12:1;0_16:0;0,DAG,0.255163014,0.110174,0.110567003,0.130364001,0.124829002,0.134890005
DAG 12:1;0_18:0;0,DAG,,,,,,
DAG 14:0;0_14:0;0,DAG,2.912209988,1.887060046,1.271810055,0.604094982,0.570869029,0.511896014
DAG 14:0;0_14:1;0,DAG,1.361070037,0.540818989,0.474330992,0.63884002,0.573632002,0.62055397
DAG 14:0;0_16:0;0,DAG,15.16059971,8.75249958,5.927490234,,3.370009899,
DAG 14:0;0_16:1;0,DAG,23.14719963,10.46879959,8.705180168,11.65250015,11.99180031,9.849619865
DAG 14:0;0_18:0;0,DAG,3.395139933,,,,,
DAG 14:0;0_18:1;0,DAG,57.62939835,28.89690018,20.32839966,21.32629967,22.27350044,22.51199913
DAG 14:0;0_18:2;0,DAG,0.185182005,,,,,
DAG 14:0;0_19:1;0,DAG,,,,,,
DAG 14:1;0_16:0;0,DAG,7.773819923,3.672679901,2.977619886,3.59890008,3.834369898,3.180799961
DAG 14:1;0_18:0;0,DAG,1.924440026,1.149710059,0.736491024,1.337450027,1.190819979,1.539700031
DAG 14:1;0_18:1;0,DAG,1.91189003,0.889496028,0.684679985,1.130779982,1.197890043,1.160699964
DAG 15:0;0_15:0;0,DAG,0.084940501,,0.0130945,,,
DAG 15:0;0_18:1;0,DAG,,,,,,
DAG 15:1;0_17:1;0,DAG,,,,,,
DAG 16:0;0_16:0;0,DAG,8.530870438,,,,,
DAG 16:0;0_16:1;0,DAG,167.4129944,93.54940033,66.28600311,73.81310272,78.06900024,80.79129791
DAG 16:0;0_16:2;0,DAG,0.255217999,0.131445006,0.120610997,,,
DAG 16:0;0_17:1;0,DAG,,,,,,
DAG 16:0;0_18:0;0,DAG,,,,,,
DAG 16:0;0_18:1;0,DAG,249.701004,136.6230011,96.7052002,117.8199997,111.7750015,129.3869934
DAG 16:0;0_18:2;0,DAG,0.84354198,,,,,
DAG 16:0;0_20:0;0,DAG,,,,,,
DAG 16:1;0_16:1;0,DAG,79.48400116,40.8669014,34.46969986,73.50170135,78.87339783,81.57189941
DAG 16:1;0_17:0;0,DAG,,,,,,
DAG 16:1;0_18:0;0,DAG,55.58179855,27.71439934,20.42230034,36.145401,34.9701004,39.54899979
DAG 16:1;0_18:1;0,DAG,213.9320068,102.2350006,80.07420349,170.2299957,167.5399933,178.9889984
DAG 17:1;0_17:1;0,DAG,,,,,,
DAG 17:1;0_19:1;0,DAG,,,,,,
DAG 18:0;0_18:0;0,DAG,,,,,,
DAG 18:0;0_18:1;0,DAG,135.2230072,74.61849976,47.46500015,67.44409943,67.26180267,69.41960144
DAG 18:0;0_18:2;0,DAG,0.241852,0.133224994,,,,
DAG 18:1;0_18:1;0,DAG,50.22779846,24.42490005,16.30360031,21.02389908,24.10560036,23.05890083
EE 15:0;0,EE,,,,,,
EE 16:0;0,EE,249.7910004,132.5590057,101.7409973,613.7620239,678.7310181,665.617981
EE 16:1;0,EE,306.0369873,174.996994,131.8809967,288.6059875,308.6640015,299.6549988
EE 17:0;0,EE,,98.84059906,70.03790283,155.0279999,164.2050018,
EE 18:0;0,EE,319.5379944,178.7460022,139.7799988,435.6090088,461.4289856,486.8890076
EE 18:1;0,EE,407.6640015,256.7349854,167.5789948,214.9799957,216.7819977,221.0140076
EE 19:0;0,EE,,21.19630051,19.80010033,45.57490158,47.96419907,45.19520187
EE 20:0;0,EE,,51.82970047,34.05920029,33.47570038,36.69309998,38.2322998
LPA 16:0;0,LPA,3.275470018,3.716350079,1.352210045,1.225990057,3.184839964,2.681109905
LPA 16:1;0,LPA,,,,,1.008090019,
LPA 18:0;0,LPA,,,,,,
LPA 18:1;0,LPA,4.932700157,3.701760054,7.694789886,3.137190104,5.709420204,5.274620056
LPA 20:1;0,LPA,,1.567039967,,,,
LPC 10:0;0,LPC,,,,,,
LPC 14:0;0,LPC,,1.692780018,1.19836998,,,
LPC 14:1;0,LPC,,,,,,
LPC 15:0;0,LPC,,,,,,
LPC 15:1;0,LPC,,,,,,
LPC 16:0;0,LPC,26.34339905,65.20469666,18.03759956,16.80089951,4.817679882,5.536940098
LPC 16:1;0,LPC,8.324839592,13.28789997,5.708710194,23.32320023,4.985640049,9.424409866
LPC 17:0;0,LPC,,,,,,
LPC 17:1;0,LPC,,,,,,
LPC 18:0;0,LPC,50.18519974,81.56349945,23.01110077,11.4605999,5.287169933,5.650710106
LPC 18:1;0,LPC,7.462609768,16.34869957,9.033880234,15.99699974,5.950009823,9.742079735
LPC 18:2;0,LPC,,,,,,
LPC 19:1;0,LPC,,,,,,
LPC 20:0;0,LPC,,1.818390012,,,,
LPC 20:1;0,LPC,,1.229259968,,,,
LPE 14:0;0,LPE,,,,,,
LPE 16:0;0,LPE,24.85079956,89.06819916,17.02589989,3.304939985,6.252039909,7.615620136
LPE 16:1;0,LPE,4.048989773,9.680290222,4.017610073,2.610699892,2.263870001,4.374269962
LPE 18:0;0,LPE,3.221210003,9.313019753,2.626019955,0.614821017,1.150470018,1.278589964
LPE 18:1;0,LPE,17.31049919,28.28319931,22.19009972,7.80614996,6.776239872,11.22350025
LPE 18:2;0,LPE,,,,,,
LPE 18:3;0,LPE,,,,,,
LPE 20:0;0,LPE,0.743858993,1.959769964,0.534552991,,0.157272995,
LPE 20:1;0,LPE,,0.829138994,0.416108012,,0.238083005,0.369935989
LPG 12:1;0,LPG,0.601939976,0.138141006,0.304408014,0.417560995,0.164297,0.218626007
LPG 14:0;0,LPG,,,,,,
LPG 14:1;0,LPG,,,,,,
LPG 16:0;0,LPG,0.412340999,0.25731799,,0.95025897,0.530644,0.861856997
LPG 16:1;0,LPG,,,,,0.162967995,0.246630996
LPG 18:0;0,LPG,,,,,,
LPG 18:1;0,LPG,,0.177199006,,0.796867013,0.344215989,0.426429003
LPI 10:0;0,LPI,,,,,,
LPI 12:0;0,LPI,,0.970754027,,1.847669959,0.719111025,1.053040028
LPI 14:0;0,LPI,4.620619774,0.795805991,2.479259968,3.127650023,1.164800048,1.547189951
LPI 14:1;0,LPI,3.727679968,,2.162650108,1.728379965,0.799192011,1.17753005
LPI 16:0;0,LPI,22.24169922,14.43729973,16.56200027,48.04399872,29.68530083,35.08100128
LPI 16:1;0,LPI,5.538839817,2.439480066,3.925110102,7.039989948,4.091179848,5.085140228
LPI 18:0;0,LPI,33.09479904,30.29770088,20.28039932,132.3560028,88.41670227,109.5550003
LPI 18:1;0,LPI,6.708960056,6.900690079,8.514840126,20.02160072,12.77620029,19.82449913
LPI 20:0;0,LPI,,,,,,
LPI 20:1;0,LPI,,,,,,
LPS 14:0;0,LPS,,,,,,
LPS 15:0;0,LPS,,,,,,
LPS 16:0;0,LPS,19.70829964,10.58230019,11.25179958,27.68659973,12.18290043,15.37889957
LPS 16:1;0,LPS,4.055709839,0.533303022,,6.66892004,3.182770014,4.825550079
LPS 18:0;0,LPS,,1.181300044,,,,
LPS 18:1;0,LPS,6.208469868,2.20994997,6.112130165,21.2928009,8.960949898,17.41760063
PA 10:0;0_16:0;0,PA,15.88799953,,,,,
PA 10:0;0_18:0;0,PA,1.726070046,1.334439993,,,,
PA 12:0;0_16:0;0,PA,17.40880013,12.96809959,7.09717989,0.867029011,,1.045029998
PA 12:0;0_16:1;0,PA,,,,,,
PA 12:0;0_18:0;0,PA,0.976199985,,,,,
PA 12:0;0_18:1;0,PA,1.815899968,1.024610043,0.801174998,,,
PA 14:0;0_14:0;0,PA,0.459113985,0.373587012,0.270837009,,,
PA 14:0;0_16:0;0,PA,4.797019958,3.710180044,1.579890013,,,
PA 14:0;0_16:1;0,PA,2.170540094,1.229529977,0.805963993,,,
PA 14:0;0_17:1;0,PA,,,,,,
PA 14:0;0_18:0;0,PA,,0.673367023,0.341174006,,,
PA 14:0;0_18:1;0,PA,12.22459984,7.925370216,4.4292202,,1.666970015,2.789989948
PA 14:1;0_16:0;0,PA,2.076220036,1.109249949,,,,
PA 14:1;0_18:0;0,PA,1.842229962,,,,,
PA 14:1;0_18:1;0,PA,,2.988500118,,,,
PA 15:0;0_16:1;0,PA,1.093250036,0.500580013,,,,
PA 15:0;0_17:1;0,PA,,,,,,
PA 15:0;0_18:1;0,PA,,,,,,
PA 16:0;0_16:0;0,PA,4.194479942,2.568779945,1.308050036,,0.874373019,
PA 16:0;0_16:1;0,PA,47.95510101,31.52890015,15.71640015,6.460780144,6.053850174,6.333950043
PA 16:0;0_17:1;0,PA,,,,,,
PA 16:0;0_18:0;0,PA,,3.467979908,,1.367409945,1.042479992,1.832929969
PA 16:0;0_18:1;0,PA,125.8809967,79.06400299,41.32580185,16.85059929,20.6413002,22.33279991
PA 16:0;0_19:1;0,PA,,,,,,
PA 16:1;0_16:1;0,PA,9.916939735,4.546350002,3.222660065,2.024980068,1.751330018,2.706629992
PA 16:1;0_17:0;0,PA,,,,,,
PA 16:1;0_18:0;0,PA,10.53460026,6.200160027,3.938549995,2.160459995,1.569970012,2.826230049
PA 16:1;0_18:1;0,PA,40.11259842,27.46929932,13.09070015,5.888120174,6.732130051,7.85187006
PA 16:1;0_19:1;0,PA,,,,,,
PA 16:1;0_20:1;0,PA,,,,,,
PA 17:0;0_17:0;0,PA,,,,,,
PA 17:0;0_17:1;0,PA,,,,,,
PA 17:0;0_19:1;0,PA,,,,,,
PA 17:1;0_17:1;0,PA,,,,,,
PA 17:1;0_18:0;0,PA,,,,,,
PA 17:1;0_18:1;0,PA,,,,,,
PA 17:1;0_19:1;0,PA,,,,,,
PA 18:0;0_18:0;0,PA,3.745369911,1.889320016,2.640170097,0.93197,,1.156569958
PA 18:0;0_18:1;0,PA,9.793950081,6.144879818,4.106679916,1.028699994,1.271980047,1.490180016
PA 18:0;0_19:1;0,PA,,,,,,
PA 18:1;0_18:1;0,PA,7.25812006,4.442289829,2.651809931,,0.707319021,
PA 19:1;0_19:1;0,PA,,,,,,
PC 10:0;0_16:0;0,PC,,3.058370113,,,,
PC 10:0;0_16:1;0,PC,,,,,,
PC 10:0;0_18:0;0,PC,,,,,,
PC 10:0;0_18:1;0,PC,,,,,,
PC 10:1;0_16:0;0,PC,,,,,,
PC 10:1;0_16:1;0,PC,,,,,,
PC 12:0;0_12:0;0,PC,,,,,,
PC 12:0;0_14:0;0,PC,3.595180035,2.647969961,2.662719965,,,
PC 12:0;0_14:1;0,PC,,,,,,
PC 12:0;0_16:0;0,PC,27.1637001,31.82550049,16.77160072,0.954849005,1.167840004,1.348119974
PC 12:0;0_16:1;0,PC,10.97290039,9.777779579,5.239369869,0.951134026,1.150900006,1.339949965
PC 12:0;0_18:0;0,PC,3.662990093,2.291160107,2.17118001,,,
PC 12:0;0_18:1;0,PC,13.50529957,6.211780071,4.179150105,,,1.550869942
PC 12:1;0_16:0;0,PC,,,,,,
PC 12:1;0_16:1;0,PC,,,,,,
PC 12:1;0_18:0;0,PC,,,,,,
PC 13:0;0_16:0;0,PC,,,,,,
PC 14:0;0_14:0;0,PC,2.408669949,2.566359997,1.240869999,,,
PC 14:0;0_14:1;0,PC,,,,,,
PC 14:0;0_15:0;0,PC,,,,,,
PC 14:0;0_15:1;0,PC,,,,,,
PC 14:0;0_16:0;0,PC,16.99570084,14.1104002,8.595170021,,1.377210021,
PC 14:0;0_16:1;0,PC,27.61700058,19.7852993,12.54080009,1.790279984,2.74951005,1.498870015
PC 14:0;0_17:1;0,PC,,1.13496995,,,,
PC 14:0;0_18:0;0,PC,,,,,,
PC 14:0;0_18:1;0,PC,73.51529694,47.86090088,21.53980064,3.661050081,4.739449978,4.664490223
PC 14:0;0_18:2;0,PC,,,,,,
PC 14:0;0_19:1;0,PC,,,,,,
PC 14:0;0_20:1;0,PC,,0.649132013,,,,
PC 14:1;0_14:1;0,PC,,,,,,
PC 14:1;0_15:0;0,PC,,,,,,
PC 14:1;0_16:0;0,PC,13.94820023,12.29800034,4.883150101,1.404610038,1.962849975,1.143589973
PC 14:1;0_16:1;0,PC,3.578949928,2.917059898,1.741459966,0.444196999,0.867717028,0.55923003
PC 14:1;0_17:1;0,PC,,,,,,
PC 14:1;0_18:0;0,PC,16.7798996,23.30080032,4.102980137,0.917326987,1.547330022,1.555600047
PC 14:1;0_18:1;0,PC,23.76390076,17.39599991,7.964379787,3.947419882,4.284029961,5.214119911
PC 14:1;0_18:2;0,PC,,,,,,
PC 14:1;0_19:1;0,PC,,,,,,
PC 15:0;0_15:0;0,PC,,,,,,
PC 15:0;0_16:1;0,PC,6.916039944,4.419670105,3.010349989,,1.303140044,
PC 15:0;0_17:1;0,PC,,,,,,
PC 15:0;0_18:1;0,PC,2.737210035,1.370300055,,0.364102989,0.43444699,0.375409991
PC 15:0;0_18:2;0,PC,,,,,,
PC 15:0;0_19:1;0,PC,,,,,,
PC 15:1;0_16:0;0,PC,32.48920059,26.50320053,11.07649994,,9.946880341,
PC 15:1;0_16:1;0,PC,,,,,0.496603012,
PC 15:1;0_18:0;0,PC,0.950767994,0.435586005,0.32772401,,,0.154531002
PC 15:1;0_18:1;0,PC,,0.847482979,0.439644009,,,
PC 16:0;0_16:0;0,PC,,,,,,
PC 16:0;0_16:1;0,PC,691.9039917,261.1860046,166.9299927,22.91570091,33.03490067,30.41550064
PC 16:0;0_16:2;0,PC,,4.284999847,,,,
PC 16:0;0_17:1;0,PC,2.78869009,1.227190018,1.135329962,,0.288296998,0.51581198
PC 16:0;0_18:1;0,PC,492.2669983,191.901001,110.137001,10.88519955,24.20499992,15.28800011
PC 16:0;0_18:2;0,PC,6.420770168,,,,,
PC 16:0;0_18:3;0,PC,,,,,,
PC 16:0;0_19:1;0,PC,,,,,,
PC 16:0;0_19:2;0,PC,,,,,,
PC 16:0;0_20:1;0,PC,1.510259986,0.699423015,,,,
PC 16:1;0_16:1;0,PC,350.3599854,117.1740036,73.19799805,38.34600067,51.34960175,40.07490158
PC 16:1;0_16:2;0,PC,,,,,,
PC 16:1;0_17:0;0,PC,2.757970095,1.419589996,1.099149942,0.623604,0.44936499,
PC 16:1;0_17:1;0,PC,4.301529884,0.819885015,0.534814,0.763278008,0.806191027,0.692740977
PC 16:1;0_18:0;0,PC,338.6400146,135.5449982,86.09719849,22.35969925,27.69499969,31.57390022
PC 16:1;0_18:1;0,PC,859.5960083,292.3330078,177.2259979,79.82189941,132.3809967,91.7457962
PC 16:1;0_18:2;0,PC,,,,,,
PC 16:1;0_19:1;0,PC,,,,,,
PC 16:1;0_20:0;0,PC,9.472780228,3.308259964,,,,
PC 16:1;0_20:1;0,PC,6.694169998,3.169179916,1.857849956,,0.633287013,
PC 16:1;0_22:0;0,PC,,,,,,
PC 16:1;0_24:0;0,PC,,,,,,
PC 16:1;0_26:0;0,PC,11.53129959,2.750629902,1.316720009,,,
PC 16:2;0_18:1;0,PC,,,,,,
PC 17:0;0_17:1;0,PC,,,,,,
PC 17:0;0_18:2;0,PC,,,,,,
PC 17:1;0_17:1;0,PC,,0.221438006,0.27076301,0.217498004,0.306481004,0.281152993
PC 17:1;0_18:0;0,PC,,,,,,
PC 17:1;0_18:1;0,PC,,,,,0.440133989,
PC 17:1;0_19:1;0,PC,,,,,,
PC 18:0;0_18:1;0,PC,137.6430054,54.21220016,34.79489899,5.402070045,6.384260178,6.97631979
PC 18:0;0_18:2;0,PC,2.097429991,0.704680026,,,,
PC 18:0;0_20:1;0,PC,,,,,,
PC 18:0;0_22:1;0,PC,,,,,,
PC 18:1;0_18:1;0,PC,115.2170029,38.09690094,22.28540039,6.836289883,8.350910187,8.733590126
PC 18:1;0_18:2;0,PC,,,,,,
PC 18:1;0_19:1;0,PC,,,,,,
PC 18:1;0_20:1;0,PC,4.484059811,1.921360016,,,,
PC 18:1;0_26:0;0,PC,,1.653069973,,,,
PC 19:1;0_19:1;0,PC,,,,,,
PE 10:0;0_16:0;0,PE,,0.589649022,,,,
PE 10:0;0_16:1;0,PE,,,,,,
PE 10:0;0_18:0;0,PE,,,,,,
PE 10:0;0_18:1;0,PE,,0.343787998,,,,
PE 12:0;0_14:0;0,PE,0.94660902,0.500374973,0.699111998,,,
PE 12:0;0_16:0;0,PE,3.985929966,4.423399925,2.936569929,,,
PE 12:0;0_16:1;0,PE,3.094660044,1.891450047,1.34355998,,,
PE 12:0;0_18:0;0,PE,,0.553794026,0.318666995,,,
PE 12:0;0_18:1;0,PE,1.120650053,0.873309016,0.485193998,,0.139320999,0.163461
PE 12:1;0_16:0;0,PE,,,,,,
PE 14:0;0_14:0;0,PE,0.324402988,0.29045099,0.212570995,,,
PE 14:0;0_16:0;0,PE,2.095920086,1.411139965,1.03302002,,,
PE 14:0;0_16:1;0,PE,5.458570004,4.082670212,2.812779903,0.667448997,0.394957989,0.336382985
PE 14:0;0_17:1;0,PE,,0.104800999,,,,
PE 14:0;0_18:0;0,PE,,,,,,0.102880001
PE 14:0;0_18:1;0,PE,18.7682991,12.48330021,9.160470009,1.600769997,1.558220029,1.871269941
PE 14:0;0_19:1;0,PE,,,,,,
PE 14:1;0_16:0;0,PE,1.058920026,0.651274025,0.469646007,,,
PE 14:1;0_16:1;0,PE,,,,,,
PE 14:1;0_18:0;0,PE,0.306676,0.190200001,0.172562003,0.172603995,,
PE 14:1;0_18:1;0,PE,1.715450048,0.807784021,,0.371363014,,0.454757005
PE 15:0;0_16:1;0,PE,1.02670002,0.670763016,,,0.227666005,0.380930007
PE 15:0;0_17:1;0,PE,,,,,,
PE 15:0;0_18:1;0,PE,1.918740034,1.366659999,0.938369989,0.74602598,0.829432011,0.846475005
PE 15:0;0_19:1;0,PE,,,,,,
PE 15:1;0_15:1;0,PE,,,,,,
PE 15:1;0_16:0;0,PE,7.464640141,4.292709827,2.99116993,,,
PE 15:1;0_16:1;0,PE,,,,,,
PE 15:1;0_18:0;0,PE,,,,,,
PE 15:1;0_18:1;0,PE,,0.539548993,,,,
