eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar_2,group
250A,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.334458803,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,9.23199E-05,250bar
250B,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.470117935,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,0.000129766,250bar
250C,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.132810381,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,3.66594E-05,250bar
1A,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.098303573,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,2.71345E-05,1bar
1B,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.123589629,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,3.41142E-05,1bar
1C,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.123647517,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,3.41302E-05,1bar
250B,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.089934843,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,2.48245E-05,250bar
1A,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.015895931,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,4.38772E-06,1bar
1B,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.016110651,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,4.44699E-06,1bar
1C,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.041563963,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,1.14728E-05,1bar
250A,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.037589287,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,1.03757E-05,250bar
250C,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.015028909,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,4.1484E-06,250bar
1A,CL 67:2_29.21 | 16:0_16:0_16:1_19:1,0.034352583,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_19:1,9.48227E-06,1bar
1B,CL 67:2_29.21 | 16:0_16:0_16:1_19:1,0.03505662,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_19:1,9.6766E-06,1bar
250A,CL 67:2_29.21 | 16:0_16:0_16:1_19:1,0.075165397,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_19:1,2.07477E-05,250bar
1A,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.048024515,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,1.32561E-05,1bar
1B,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.048779726,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,1.34646E-05,1bar
1C,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.080501705,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,2.22207E-05,1bar
250A,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.084966832,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,2.34532E-05,250bar
1A,CL 67:2_29.21 | 16:0_17:0_17:1_17:1,0.018484673,CL,1,NA,67,2,29.21,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_17:1,5.10228E-06,1bar
1B,CL 67:2_29.21 | 16:0_17:0_17:1_17:1,0.020621978,CL,1,NA,67,2,29.21,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_17:1,5.69224E-06,1bar
250A,CL 67:2_29.21 | 16:0_17:0_17:1_17:1,0.05255299,CL,1,NA,67,2,29.21,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_17:1,1.45061E-05,250bar
250C,CL 67:2_29.21 | 16:0_17:0_17:1_17:1,0.035292193,CL,1,NA,67,2,29.21,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_17:1,9.74163E-06,250bar
1A,CL 67:3_28.96 | 16:0_17:1_17:1_17:1,0.085161107,CL,1,NA,67,3,28.96,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_17:1,2.35068E-05,1bar
1B,CL 67:3_28.96 | 16:0_17:1_17:1_17:1,0.088508984,CL,1,NA,67,3,28.96,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_17:1,2.44309E-05,1bar
1C,CL 67:3_28.96 | 16:0_17:1_17:1_17:1,0.069627705,CL,1,NA,67,3,28.96,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_17:1,1.92192E-05,1bar
250A,CL 67:3_28.96 | 16:0_17:1_17:1_17:1,0.126168192,CL,1,NA,67,3,28.96,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_17:1,3.48259E-05,250bar
250B,CL 67:3_28.96 | 16:0_17:1_17:1_17:1,0.098835054,CL,1,NA,67,3,28.96,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_17:1,2.72812E-05,250bar
1A,CL 67:4_29.12,0.189360654,CL,1,NA,67,4,29.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,67:04:00,5.22688E-05,1bar
1B,CL 67:4_29.12,0.183399195,CL,1,NA,67,4,29.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,67:04:00,5.06233E-05,1bar
1C,CL 67:4_29.12,0.194162775,CL,1,NA,67,4,29.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,67:04:00,5.35943E-05,1bar
250A,CL 67:4_29.12,0.159792228,CL,1,NA,67,4,29.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,67:04:00,4.41071E-05,250bar
250B,CL 67:4_29.12,0.236029109,CL,1,NA,67,4,29.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,67:04:00,6.51506E-05,250bar
250C,CL 67:4_29.12,0.084977562,CL,1,NA,67,4,29.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,67:04:00,2.34562E-05,250bar
1A,CL 68:2_29.35 | 16:0_16:0_17:1_19:1,2.248118777,CL,1,NA,68,2,29.35,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_19:1,0.000620543,1bar
1B,CL 68:2_29.35 | 16:0_16:0_17:1_19:1,2.064002258,CL,1,NA,68,2,29.35,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_19:1,0.000569722,1bar
1C,CL 68:2_29.35 | 16:0_16:0_17:1_19:1,1.79406978,CL,1,NA,68,2,29.35,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_19:1,0.000495213,1bar
250A,CL 68:2_29.35 | 16:0_16:0_17:1_19:1,1.949055497,CL,1,NA,68,2,29.35,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_19:1,0.000537993,250bar
250B,CL 68:2_29.35 | 16:0_16:0_17:1_19:1,2.815551734,CL,1,NA,68,2,29.35,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_19:1,0.000777171,250bar
250C,CL 68:2_29.35 | 16:0_16:0_17:1_19:1,0.5411098,CL,1,NA,68,2,29.35,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_19:1,0.000149361,250bar
1A,CL 68:5_29.03,0.183065338,CL,1,NA,68,5,29.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,68:05:00,5.05311E-05,1bar
1B,CL 68:5_29.03,0.21416568,CL,1,NA,68,5,29.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,68:05:00,5.91157E-05,1bar
1C,CL 68:5_29.03,0.227757353,CL,1,NA,68,5,29.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,68:05:00,6.28674E-05,1bar
250A,CL 68:5_29.03,0.194727489,CL,1,NA,68,5,29.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,68:05:00,5.37502E-05,250bar
250B,CL 68:5_29.03,0.262441048,CL,1,NA,68,5,29.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,68:05:00,7.2441E-05,250bar
250C,CL 68:5_29.03,0.103241312,CL,1,NA,68,5,29.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,68:05:00,2.84975E-05,250bar
1A,CL 69:2_29.53 | 16:0_16:0_18:1_19:1,0.025147174,CL,1,NA,69,2,29.53,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_18:1_19:1,6.94132E-06,1bar
1B,CL 69:2_29.53 | 16:0_16:0_18:1_19:1,0.024231639,CL,1,NA,69,2,29.53,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_18:1_19:1,6.68861E-06,1bar
250A,CL 69:2_29.53 | 16:0_16:0_18:1_19:1,0.043360807,CL,1,NA,69,2,29.53,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_18:1_19:1,1.19688E-05,250bar
1A,CL 69:2_29.53 | 16:0_17:0_17:1_19:1,0.026082877,CL,1,NA,69,2,29.53,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_19:1,7.1996E-06,1bar
1B,CL 69:2_29.53 | 16:0_17:0_17:1_19:1,0.037226038,CL,1,NA,69,2,29.53,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_19:1,1.02754E-05,1bar
250A,CL 69:2_29.53 | 16:0_17:0_17:1_19:1,0.072825898,CL,1,NA,69,2,29.53,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_19:1,2.0102E-05,250bar
250B,CL 69:2_29.53 | 16:0_17:0_17:1_19:1,0.072081366,CL,1,NA,69,2,29.53,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_19:1,1.98965E-05,250bar
1A,CL 69:3_29.28 | 14:0_17:1_19:1_19:1,0.025209172,CL,1,NA,69,3,29.28,NA,14,0,NA,17,1,NA,NA,NA,FALSE,14:0_17:1_19:1_19:1,6.95843E-06,1bar
250A,CL 69:3_29.28 | 14:0_17:1_19:1_19:1,0.048151022,CL,1,NA,69,3,29.28,NA,14,0,NA,17,1,NA,NA,NA,FALSE,14:0_17:1_19:1_19:1,1.3291E-05,250bar
250B,CL 69:3_29.28 | 14:0_17:1_19:1_19:1,0.075680032,CL,1,NA,69,3,29.28,NA,14,0,NA,17,1,NA,NA,NA,FALSE,14:0_17:1_19:1_19:1,2.08898E-05,250bar
1A,CL 69:3_29.28 | 16:0_17:1_17:1_19:1,0.399718034,CL,1,NA,69,3,29.28,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_19:1,0.000110333,1bar
1B,CL 69:3_29.28 | 16:0_17:1_17:1_19:1,0.452068998,CL,1,NA,69,3,29.28,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_19:1,0.000124784,1bar
1C,CL 69:3_29.28 | 16:0_17:1_17:1_19:1,0.515340817,CL,1,NA,69,3,29.28,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_19:1,0.000142248,1bar
250A,CL 69:3_29.28 | 16:0_17:1_17:1_19:1,0.704075945,CL,1,NA,69,3,29.28,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_19:1,0.000194345,250bar
250B,CL 69:3_29.28 | 16:0_17:1_17:1_19:1,0.6129751,CL,1,NA,69,3,29.28,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_19:1,0.000169198,250bar
250C,CL 69:3_29.28 | 16:0_17:1_17:1_19:1,0.164662071,CL,1,NA,69,3,29.28,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_17:1_19:1,4.54513E-05,250bar
1A,CL 69:4_29.44,0.061139344,CL,1,NA,69,4,29.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,69:04:00,1.68762E-05,1bar
1B,CL 69:4_29.44,0.066034066,CL,1,NA,69,4,29.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,69:04:00,1.82272E-05,1bar
1C,CL 69:4_29.44,0.062439259,CL,1,NA,69,4,29.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,69:04:00,1.7235E-05,1bar
250A,CL 69:4_29.44,0.021880118,CL,1,NA,69,4,29.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,69:04:00,6.03952E-06,250bar
250B,CL 69:4_29.44,0.039044242,CL,1,NA,69,4,29.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,69:04:00,1.07773E-05,250bar
1A,CL 70:2_29.71 | 16:0_16:0_19:1_19:1,0.576250817,CL,1,NA,70,2,29.71,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_19:1_19:1,0.000159061,1bar
1B,CL 70:2_29.71 | 16:0_16:0_19:1_19:1,0.766182299,CL,1,NA,70,2,29.71,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_19:1_19:1,0.000211488,1bar
1C,CL 70:2_29.71 | 16:0_16:0_19:1_19:1,0.447199615,CL,1,NA,70,2,29.71,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_19:1_19:1,0.00012344,1bar
250A,CL 70:2_29.71 | 16:0_16:0_19:1_19:1,0.348054358,CL,1,NA,70,2,29.71,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_19:1_19:1,9.60727E-05,250bar
250B,CL 70:2_29.71 | 16:0_16:0_19:1_19:1,0.666634061,CL,1,NA,70,2,29.71,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_19:1_19:1,0.00018401,250bar
250C,CL 70:2_29.71 | 16:0_16:0_19:1_19:1,0.095881063,CL,1,NA,70,2,29.71,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_19:1_19:1,2.64658E-05,250bar
1A,CL 70:2_29.71 | 16:0_17:1_18:0_19:1,0.040091546,CL,1,NA,70,2,29.71,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_18:0_19:1,1.10664E-05,1bar
1B,CL 70:2_29.71 | 16:0_17:1_18:0_19:1,0.055983415,CL,1,NA,70,2,29.71,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_18:0_19:1,1.5453E-05,1bar
250A,CL 70:2_29.71 | 16:0_17:1_18:0_19:1,0.03540963,CL,1,NA,70,2,29.71,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_18:0_19:1,9.77404E-06,250bar
250B,CL 70:2_29.71 | 16:0_17:1_18:0_19:1,0.086214078,CL,1,NA,70,2,29.71,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_18:0_19:1,2.37975E-05,250bar
1A,CL 70:5_29.35,0.217918543,CL,1,NA,70,5,29.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,70:05:00,6.01516E-05,1bar
1B,CL 70:5_29.35,0.241042418,CL,1,NA,70,5,29.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,70:05:00,6.65344E-05,1bar
1C,CL 70:5_29.35,0.232903982,CL,1,NA,70,5,29.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,70:05:00,6.4288E-05,1bar
250A,CL 70:5_29.35,0.18462945,CL,1,NA,70,5,29.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,70:05:00,5.09629E-05,250bar
250B,CL 70:5_29.35,0.278659388,CL,1,NA,70,5,29.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,70:05:00,7.69177E-05,250bar
1A,CL 71:3_29.62 | 16:0_17:1_19:1_19:1,0.426390742,CL,1,NA,71,3,29.62,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_19:1_19:1,0.000117696,1bar
1B,CL 71:3_29.62 | 16:0_17:1_19:1_19:1,0.532973083,CL,1,NA,71,3,29.62,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_19:1_19:1,0.000147115,1bar
1C,CL 71:3_29.62 | 16:0_17:1_19:1_19:1,0.474382534,CL,1,NA,71,3,29.62,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_19:1_19:1,0.000130943,1bar
250A,CL 71:3_29.62 | 16:0_17:1_19:1_19:1,0.791223352,CL,1,NA,71,3,29.62,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_19:1_19:1,0.0002184,250bar
250B,CL 71:3_29.62 | 16:0_17:1_19:1_19:1,0.886236203,CL,1,NA,71,3,29.62,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_19:1_19:1,0.000244626,250bar
250C,CL 71:3_29.62 | 16:0_17:1_19:1_19:1,0.220757015,CL,1,NA,71,3,29.62,NA,16,0,NA,17,1,NA,NA,NA,FALSE,16:0_17:1_19:1_19:1,6.09351E-05,250bar
1A,CL 71:6_29.28,0.046090307,CL,1,NA,71,6,29.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,71:06:00,1.27222E-05,1bar
1B,CL 71:6_29.28,0.04355023,CL,1,NA,71,6,29.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,71:06:00,1.20211E-05,1bar
1C,CL 71:6_29.28,0.042241304,CL,1,NA,71,6,29.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,71:06:00,1.16598E-05,1bar
250A,CL 71:6_29.28,0.053915728,CL,1,NA,71,6,29.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,71:06:00,1.48822E-05,250bar
250B,CL 71:6_29.28,0.072608413,CL,1,NA,71,6,29.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,71:06:00,2.00419E-05,250bar
1A,CL 72:5_29.71,0.061322297,CL,1,NA,72,5,29.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,72:05:00,1.69267E-05,1bar
1B,CL 72:5_29.71,0.069741549,CL,1,NA,72,5,29.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,72:05:00,1.92506E-05,1bar
1C,CL 72:5_29.71,0.046843303,CL,1,NA,72,5,29.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,72:05:00,1.29301E-05,1bar
250B,CL 72:5_29.71,0.070305122,CL,1,NA,72,5,29.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,72:05:00,1.94062E-05,250bar
1A,CL 73:3_29.96 | 16:0_19:1_19:1_19:1,0.18089061,CL,1,NA,73,3,29.96,NA,16,0,NA,19,1,NA,NA,NA,FALSE,16:0_19:1_19:1_19:1,4.99308E-05,1bar
1B,CL 73:3_29.96 | 16:0_19:1_19:1_19:1,0.267933541,CL,1,NA,73,3,29.96,NA,16,0,NA,19,1,NA,NA,NA,FALSE,16:0_19:1_19:1_19:1,7.39571E-05,1bar
1C,CL 73:3_29.96 | 16:0_19:1_19:1_19:1,0.233796326,CL,1,NA,73,3,29.96,NA,16,0,NA,19,1,NA,NA,NA,FALSE,16:0_19:1_19:1_19:1,6.45343E-05,1bar
250A,CL 73:3_29.96 | 16:0_19:1_19:1_19:1,0.316878846,CL,1,NA,73,3,29.96,NA,16,0,NA,19,1,NA,NA,NA,FALSE,16:0_19:1_19:1_19:1,8.74674E-05,250bar
250B,CL 73:3_29.96 | 16:0_19:1_19:1_19:1,0.405191202,CL,1,NA,73,3,29.96,NA,16,0,NA,19,1,NA,NA,NA,FALSE,16:0_19:1_19:1_19:1,0.000111844,250bar
250C,CL 73:3_29.96 | 16:0_19:1_19:1_19:1,0.084226709,CL,1,NA,73,3,29.96,NA,16,0,NA,19,1,NA,NA,NA,FALSE,16:0_19:1_19:1_19:1,2.32489E-05,250bar
1A,CL 73:6_29.62,0.03839229,CL,1,NA,73,6,29.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,73:06:00,1.05973E-05,1bar
1B,CL 73:6_29.62,0.045409847,CL,1,NA,73,6,29.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,73:06:00,1.25344E-05,1bar
250A,CL 73:6_29.62,0.054753709,CL,1,NA,73,6,29.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,73:06:00,1.51135E-05,250bar
250B,CL 73:6_29.62,0.085547844,CL,1,NA,73,6,29.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,73:06:00,2.36136E-05,250bar
1A,CL 74:4_29.87 | 17:1_19:1_19:1_19:1,0.030195015,CL,1,NA,74,4,29.87,NA,17,1,NA,19,1,NA,NA,NA,FALSE,17:1_19:1_19:1_19:1,8.33466E-06,1bar
250A,CL 74:4_29.87 | 17:1_19:1_19:1_19:1,0.061995212,CL,1,NA,74,4,29.87,NA,17,1,NA,19,1,NA,NA,NA,FALSE,17:1_19:1_19:1_19:1,1.71124E-05,250bar
250B,CL 74:4_29.87 | 17:1_19:1_19:1_19:1,0.110624064,CL,1,NA,74,4,29.87,NA,17,1,NA,19,1,NA,NA,NA,FALSE,17:1_19:1_19:1_19:1,3.05353E-05,250bar
